Count;Desc;Digikey;Pollin;Unit;Name
6;tactile button;679-2428-ND;;MISC;S1, S2, S3, S4, S5, S6
1;VGA;SDS108-PRW1-F15-SN13-1;;VGA;X1
5;LED 3mm rot;WP3A8HD;http://www.pollin.de/shop/dt/MDk3OTkxOTk-/Bauelemente_Bauteile/Sortimente/Aktive_Bauteile/Leuchtdioden_Set.html;MISC;LED1, LED2, LED3, LED4, LED5
2;header;S9201-ND;http://www.pollin.de/shop/dt/OTM2ODQ1OTk-/Bauelemente_Bauteile/Mechanische_Bauelemente/Steckverbinder_Klemmen/Buchsenleiste_vergoldet_2x_25_polig.html;MAIN;SV1, SV2
3;ceramic 100n;478-5741-ND;;MISC;C4, C12, C13
8;ceramic 100n smd;311-1343-1-ND;;NETWORK;C1, C2, C5, C6, C7, C9, C10, C11
6;R 10k;A104668CT-ND;;MISC;R29, R30, R31, R32, R33, R34
1;tantalum 10Âµ;495-2237-1-ND;;NETWORK;C8
1;R 1k1;CF14JT1K10CT-ND;;VGA;R3
3;R 150;CF14JT150RCT-ND;;VGA;R9, R10, R11
1;R 240;CF14JT240RCT-ND;;VGA;R7
2;R 240 smd;311-240GRCT-ND;;NETWORK;R14, R15
3;R270;CF14JT270RCT-ND;;VGA;R1, R4
1;R470;A105933CT-ND;;VGA;R8
5;R47k;CF14JT47K0CT-ND;;SDCARD;R19, R20, R21, R22, R23
2;R560;CF14JT560RCT-ND;;VGA;R2, R5
1;jack;553-1849-ND;;NETWORK;X2
1;eth phy;DP83848CVV-ND;;NETWORK;U$1
1;osc 50Mhz;631-1060-1-ND;;NETWORK;U$5
1;4x R51;CRA6S851CT-ND;;NETWORK;RN2
1;4x R2k2;CRA6S82.2KCT-ND;;NETWORK;RN1
2;R270;311-240GRCT-ND;;NETWORK;R14, R15
4;R2k2;P2.2KGCT-ND;;NETWORK;R12, R13, R16, R17
1;R4k87;311-4.87KHRCT-ND;;NETWORK;R18
1;SDCARD;http://www.digikey.com/product-detail/en/10067847-001RLF/609-3956-1-ND/2283479;http://www.pollin.de/shop/dt/Mjc0ODQ1OTk-/Computer_und_Zubehoer/Hardware/Speicherkarten/SD_Speicherkarten_Sockel_ATOM_SD01_AP20324.html;SDCARD;U$2
10;SNES pins;;;MISC;U$3,U$4
1;ceramic 10n;399-1091-1-ND;;NETWORK;C3
1;BC337;BC33725TACT-ND;;MISC;T1